_id,id_old
253,59
254,60
255,61
256,62
257,63
258,64
259,65
260,66
261,67
262,68
263,69
264,70
265,71
266,72
267,73
268,74
269,75
270,76
271,77
272,78
273,79
274,80
275,81
276,82
277,83
278,84
279,85
280,86
281,87
282,88
283,89
284,90
285,91
286,92
287,93
288,94
289,95
290,96
291,97
292,98
293,99
294,100
295,101
296,102
297,103
298,104
299,105
300,106
301,107
302,108
303,109
304,110
305,111
306,112
307,113
308,114
309,115
310,116
311,117
312,118
313,119
314,120
315,121
316,122
317,123
318,124
319,125
320,126
321,127
322,128
323,129
324,130
325,131
326,132
327,133
328,134
329,135
330,136
331,137
332,138
333,139
334,140
335,141
336,142
337,143
338,144
339,145
340,146
341,147
342,148
343,149
344,150
345,151
346,152
347,153
348,154
349,155
350,156
351,157
352,158
353,159
354,160
355,161
356,162
357,163
358,164
359,165
360,166
361,167
362,168
363,169
364,170
365,171
366,172
367,173
368,178
369,174
370,175
371,176
372,177
373,179
374,180
375,181
376,182
377,183
378,184
379,185
380,186
381,187
382,188
383,189
384,190
385,191
386,192
387,193
388,194
389,195
390,3
391,4
392,11
393,13
394,14
395,17
396,18
397,19
398,21
399,24
400,29
401,30
402,31
403,32
404,33
405,35
406,37
407,38
408,39
409,40
410,41
411,42
412,44
413,45
414,46
415,47
416,49
417,50
418,52
419,53
420,54
421,55
422,56
423,57
424,58
425,59
426,60
427,61
428,62
429,64
430,66
431,70
432,71
433,72
434,74
435,75
436,76
437,77
438,80
439,81
440,82
441,83
442,86
443,88
444,91
445,92
446,93
447,94
448,95
449,96
450,97
451,98
452,99
453,102
454,105
455,106
456,107
457,108
458,110
459,111
460,112
461,113
462,114
463,115
464,117
465,118
466,120
467,121
468,122
469,124
470,125
471,127
472,132
473,134
474,135
475,137
476,138
477,139
478,144
479,145
480,146
481,147
482,148
483,155
484,157
485,158
486,164
487,165
488,166
489,167
490,168
491,169
492,170
493,171
494,173
495,174
496,175
497,176
498,177
499,179
500,185
501,186
502,187
503,190
504,191
505,73
506,183
507,42
508,46
509,49
510,55
511,56
512,57
513,58
514,59
515,61
516,70
517,71
518,72
519,77
520,83
521,86
522,91
523,92
524,93
525,94
526,98
527,99
528,102
529,107
530,110
531,112
532,113
533,114
534,115
535,117
536,118
537,121
538,125
539,127
540,135
541,137
542,138
543,139
544,144
545,145
546,146
547,147
548,148
549,155
550,157
551,164
552,165
553,166
554,167
555,168
556,169
557,170
558,171
559,173
560,174
561,175
562,176
563,177
564,179
565,183
566,185
567,186
568,187
569,1
570,1
571,2
572,3
573,4
574,7
575,9
576,10
577,18
578,21
579,24
580,25
581,27
582,28
583,29
584,30
585,31
586,34
587,46
588,49
589,50
590,51
591,52
592,53
593,54
594,56
595,57
596,66
597,77
598,80
599,81
600,85
601,88
602,92
603,99
604,102
605,103
606,104
607,105
608,106
609,107
610,111
611,112
612,114
613,115
614,116
615,120
616,127
617,133
618,138
619,139
620,145
621,147
622,148
623,155
624,157
625,158
626,165
627,166
628,171
629,176
630,177
631,183
632,185
633,187
634,2
635,3
636,4
637,5
638,6
639,7
640,8
641,9
642,10
643,11
644,12
645,13
646,14
647,15
648,16
649,17
650,18
651,19
652,20
653,21
654,22
655,23
656,24
657,25
658,26
659,27
660,28
661,29
662,30
663,31
664,32
665,33
666,34
667,35
668,36
669,37
670,38
671,39
672,40
673,41
674,42
675,43
676,44
677,45
678,46
679,47
680,48
681,49
682,50
683,51
684,52
685,53
686,54
687,55
688,56
689,57
690,58
691,59
692,60
693,61
694,62
695,63
696,64
697,65
698,66
699,67
700,68
701,69
702,70
703,71
704,72
705,73
706,74
707,75
708,76
709,77
710,78
711,79
712,80
713,81
714,82
715,83
716,84
717,85
718,86
719,87
720,88
721,89
722,90
723,91
724,92
725,93
726,94
727,95
728,96
729,97
730,98
731,99
732,100
733,101
734,102
735,103
736,104
737,105
738,106
739,107
740,108
741,109
742,110
743,111
744,112
745,113
746,114
747,115
748,116
749,117
750,118
751,119
752,120
753,121
754,122
755,123
756,124
757,125
758,126
759,127
760,128
761,129
762,130
763,131
764,132
765,133
766,134
767,135
768,136
769,137
770,138
771,139
772,140
773,141
774,142
775,143
776,144
777,145
778,146
779,147
780,148
781,149
782,150
783,151
784,152
785,153
786,154
787,155
788,156
789,157
790,158
791,159
792,160
793,161
794,162
795,163
796,164
797,165
798,166
799,167
800,168
801,169
802,170
803,171
804,172
805,173
806,174
807,175
808,176
809,177
810,178
811,179
812,180
813,181
814,182
815,183
816,184
817,185
818,186
819,187
820,188
821,189
822,190
823,191
824,192
825,193
826,194
827,195
828,1
829,2
830,3
831,4
832,5
833,7
834,9
835,10
836,13
837,14
838,17
839,18
840,19
841,21
842,22
843,24
844,25
845,27
846,28
847,29
848,30
849,31
850,34
851,35
852,38
853,39
854,40
855,41
856,44
857,45
858,46
859,47
860,48
861,49
862,50
863,51
864,52
865,53
866,54
867,56
868,57
869,58
870,59
871,61
872,63
873,66
874,67
875,72
876,73
877,74
878,75
879,76
880,77
881,79
882,80
883,81
884,85
885,88
886,91
887,92
888,95
889,96
890,97
891,98
892,99
893,100
894,101
895,102
896,103
897,104
898,105
899,106
900,107
901,110
902,111
903,112
904,113
905,114
906,115
907,116
908,117
909,118
910,119
911,120
912,123
913,124
914,127
915,128
916,129
917,130
918,133
919,134
920,136
921,138
922,139
923,140
924,145
925,146
926,147
927,148
928,149
929,151
930,152
931,153
932,154
933,155
934,157
935,158
936,159
937,161
938,162
939,163
940,164
941,165
942,166
943,168
944,169
945,170
946,171
947,172
948,173
949,174
950,175
951,176
952,177
953,178
954,179
955,182
956,183
957,184
958,185
959,186
960,187
961,188
962,189
963,190
964,191
965,192
966,193
967,194
968,195
